Row Number,Artist Names,Track Names
0,Fuego,Una Vaina Loca
1,Speng Squire,Sooner Or Later
2,Off Cuts,Like Crying Mothers
3,Juice WRLD,Make Believe
4,Lil Tecca,NEVER LEFT
5,David Wolves,Forget About Me
6,Pop Smoke,Welcome To The Party
7,100 gecs,toothless
8,"93FEETOFSMOKE, Ghostrage","oh hey, miss ur face"
9,Tory Lanez,Who Needs Love
10,Quadeca,ALONE TOGETHER
11,Drippin So Pretty,Green Dot
12,AG Club,Hngover
13,"Lil Story, Steven Moses",Danger
14,convolk,-_-uncertain-_-
15,"fats'e, jay vee",best of me
16,Maleek Berry,Been Calling
17,Sevdaliza,Oh My God
18,Teezo Touchdown,Careful
19,"Jay Eskar, Heleen",Just Dance
20,Drake,Hotline Bling
21,Rezcoast Grizz,Lost You
22,"93FEETOFSMOKE, Tothegood",degrees
23,"Jedwill, camoufly",Garden
24,The Killers,Somebody Told Me
25,"88GLAM, NAV",Bali
26,Travis Scott,HIGHEST IN THE ROOM
27,"Sewerperson, JabariOnTheBeat",Rsvp
28,"Young Thug, Travis Scott",pick up the phone
29,guardin,in my sleep
30,"Kanye West, Dwele",Flashing Lights
31,93FEETOFSMOKE,PPL THT I LUV THE MOST
32,Juice WRLD,Man Of The Year
33,Daddex,Love Scars
34,convolk,all black fit
35,Paper Rival,Foreign Film Collection
36,"SAINt JHN, Lil Baby",Trap (feat. Lil Baby)
37,"100 gecs, Count Baldor, GFOTY",stupid horse (Remix) [feat. GFOTY & Count Baldor]
38,Travis Scott,guidance
39,David Wolves,Touring Test
40,JELEEL!,Hasta la Vida!
41,Juice WRLD,Black & White
42,"Big Sean, Drake",Blessings
43,midwxst,Trying
44,Aphex Twin,Avril 14th
45,Yung Lean,Pikachu
46,"fats'e, shinigami, 93FEETOFSMOKE",old me
47,"Juice WRLD, Marshmello",Come & Go (with Marshmello)
48,93FEETOFSMOKE,fruit2 / fleas
49,93FEETOFSMOKE,this is do or die just like everything else
50,Pseudo,Demons in the Attic
51,Childish Gambino,32.22
52,Verzache,Needs
53,Lil Tecca,Did It Again
54,"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD)
55,The Weeknd,Snowchild
56,Broly500!,I'm in Real Big Trouble
57,Chief Keef,Faneto
58,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS
59,Playboi Carti,Long Time - Intro
60,Logic,Hit My Line
61,Drake,Trust Issues
62,TOKYO’S REVENGE,Drug Lullaby
63,"Drake, Future",Diamonds Dancing
64,King Theta,Getting Over It
