Row Number,Artist Names,Track Names
0,Capstan,Abstracted
1,Juice WRLD,Conversations
2,Machine Gun Kelly,drunk face
3,Lil Uzi Vert,XO Tour Llif3
4,Kanye West,Ultralight Beam
5,The Weeknd,Scared To Live
6,Justin Rarri,NEVADA
7,"Pritty, Kevin Bedford",Imagine That
8,Speng Squire,Vent
9,Global Dan,For A Reason
10,Pop Smoke,What You Know Bout Love
11,Crybaby Cash,Lllen
12,Juice WRLD,Make Believe
13,Kanye West,Heartless
14,King Theta,Critical Mass
15,"Jay Eskar, Heleen",Just Dance
16,Travis Scott,goosebumps
17,fats'e,blind in the spotlight
18,The Killers,Mr. Brightside
19,Machine Gun Kelly,concert for aliens
20,Trevor Daniel,Never
21,"guardin, Ray Toro",i think you're really cool (with Ray Toro)
22,Evilmane,Alone
23,David Wolves,Impossible
24,Tom The Mail Man,My Storm
25,"93FEETOFSMOKE, WRCKTNGL",bite the curb and sleep well (prod. 93FEETOFSMOKE)
26,Aries,RACECAR
27,TOKYO’S REVENGE,Drug Lullaby
28,"food house, Gupi, Fraxiom",51129
29,SAINt JHN,5 Thousand Singles
30,"Juice WRLD, Rvssian, Clever",Ring Ring (with Rvssian feat. Clever)
31,Kanye West,Wolves
32,"93FEETOFSMOKE, Ghostrage","oh hey, miss ur face"
33,"fats'e, shinigami, 93FEETOFSMOKE",old me
34,AG Club,Hngover
35,"lil aaron, Kim Petras, Laura Les",Anymore - Laura Les Remix
36,POORSTACY,make up
37,Eminem,The Real Slim Shady
38,Juice WRLD,Armed And Dangerous
39,"KREAM, Maia Wright",Decisions (feat. Maia Wright)
40,benny mayne,THE WORST
41,PARTYNEXTDOOR,Not Nice
42,"Playboi Carti, Lil Uzi Vert",Shoota (feat. Lil Uzi Vert)
43,Lil Uzi Vert,Venetia
44,The Weeknd,After Hours
45,Capstan,Wax Poetic (Acoustic)
46,"Lil Wayne, Lil Uzi Vert",Multiple Flows (with Lil Uzi Vert)
47,SEBii,Butterfly Bankai
48,convolk,get lost
49,"93FEETOFSMOKE, shinigami",it never rains anymore
50,"Eminem, Dido",Stan
51,Beach House,Space Song
52,Drake,When To Say When
53,Petit Biscuit,Memories
54,"Drake, Future",Diamonds Dancing
55,Rezcoast Grizz,Lost You
56,Yungcudii,Think Too Much
57,guardin,Doormat
58,Yusei,Missing Thinking Wanting You
59,Inner Circle,Bad Boys (Theme from COPS)
60,Mooski,Track Star
61,"Future, Lil Uzi Vert",Drankin N Smokin
62,Juice WRLD,Hear Me Calling
63,"Drake, Future",Plastic Bag
64,Shamir,Ocean Eyes
65,Pixies,Where Is My Mind?
66,Lil Uzi Vert,Celebration Station
67,"Dead Robot, Saphir",Wings Apart
68,"Travis Scott, Kacy Hill",90210 (feat. Kacy Hill)
69,KYLE,What It Is
70,Drex Carter,Nandina
71,"Maxd, LoneMoon",Stuart
72,"Tory Lanez, Rich The Kid, Lil Wayne",TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix
73,Kanye West,FML
74,Ibranovski,Only You
75,Fuego,Una Vaina Loca
76,The Weeknd,Too Late
77,King Theta,10 D3m0ns
78,Travis Scott,wonderful
79,Oklou,Entertnmnt
80,Jakkyboí,Why U Gotta Mean So Much?
81,"The Kid LAROI, Juice WRLD",GO (feat. Juice WRLD)
82,Shakewell,Late Night
83,"Kanye West, Travis Scott",Wash Us In The Blood
84,SyKo,#BrooklynBloodPop!
85,Aizayah Hills,Fallout
86,"Netrum, Halvorsen",Shivers
87,"Dominic Fike, Kenny Beats",Phone Numbers
88,"Dominic Fike, Kenny Beats",Phone Numbers
89,Kanye West,All Of The Lights
90,Tory Lanez,Who Needs Love
91,Jutes,Sideshow
92,"Kanye West, T-Pain",Good Life
93,POORSTACY,Hills Have Eyes
94,juno,karma
95,Shamir,Other Side
96,Pop Smoke,Flexin'
97,brakence,fwb
98,p4rkr,jealousy is a bitch. i hate her
99,"Global Dan, Global AzN",Poison
100,Lil Uzi Vert,Bigger Than Life
101,"Supachefm, jay vee, Jakkyboí","Fine Wine, Long Life"
102,convolk,black heart
103,Drainpuppet,My Chakras Are Fast and Hype
104,Kanye West,Waves
105,Freddie Sunshine,Sun and The Moon
106,"Infraction, Aim To Head",Falling
107,Chief Keef,That's It
108,"abbot, Gordon Snyder, patchymate",Oxygen
109,"Eminem, Nate Dogg",'Till I Collapse
110,Travis Scott,A-Team
111,Sevdaliza,Shabrang
112,"benny blanco, Juice WRLD, Brendon Urie",Roses (with Juice WRLD feat. Brendon Urie)
113,"Flywlkr, Moose",Sippin' fiji (feat. Moose)
114,The Weeknd,Blinding Lights
115,Capstan,Stars Before The Sun
116,guardin,i think you're really cool
117,Drake,Jungle
118,"SAINt JHN, A Boogie Wit da Hoodie",Monica Lewinsky (feat. A Boogie wit da Hoodie)
119,"Mike Posner, Gigamesh",Cooler Than Me - Single Mix
120,Tory Lanez,Do The Most
121,Naïka,Sauce
122,Drex Carter,Monday Mourning
123,"Juice WRLD, Lil Uzi Vert",Lucid Dreams (feat. Lil Uzi Vert) - Remix
