Row Number,Artist Names,Track Names
0,ITSOKTOCRY,i wish the world ended in 2012
1,Slayyyter,Mine
2,"the bootleg boy, artemis orion",blue
3,"Kanye West, Travis Scott",Wash Us In The Blood
4,Aizayah Hills,Fallout
5,"Eminem, Nate Dogg",'Till I Collapse
6,SEBii,Butterfly Bankai
7,"Tyla Yaweh, Post Malone",Tommy Lee (feat. Post Malone)
8,Polo G,21
9,Namasenda,Wanted
10,"SAINt JHN, J Balvin, Imanbek",Roses - Imanbek Remix [Latino Gang]
11,guardin,Doormat
12,SAINt JHN,Who Do You Blame
13,Kevin Kazi,Christian Dior
14,"T-Pain, Mike Jones",I'm N Luv (Wit a Stripper) (feat. Mike Jones)
15,HEX,Inferno
16,Sevdaliza,Joanna
17,Trevor Daniel,Never
18,Oklou,fall - A COLORS SHOW
19,"Future, Drake",Life Is Good (feat. Drake)
20,93FEETOFSMOKE,mean a damn thing
21,"Flywlkr, Moose",Sippin' fiji (feat. Moose)
22,"Mothica, CMTEN",VICES - Cmten Remix
23,"93FEETOFSMOKE, WRCKTNGL",bite the curb and sleep well (prod. 93FEETOFSMOKE)
24,Kanye West,Can't Tell Me Nothing
25,Ibranovski,Only You
26,The Weeknd,Heartless
27,"Powfu, beabadoobee",death bed (coffee for your head)
28,"Travis Scott, Quavo",Oh My Dis Side (feat. Quavo)
29,Speng Squire,Vent
30,The Unlikely Candidates,Follow My Feet
31,27CLUB,SOBER
32,StaySolidRocky,Party Girl
33,Arizona Zervas,ROXANNE
34,Grimes,Realiti
35,As Tall As Lions,"Love, Love, Love (Love, Love)"
36,Maggie Lindemann,Would I
37,Blbrri,lavender lover
38,"Yung Scuff, Jakkyboí",U DO U
39,Maggie Lindemann,Knife Under My Pillow
40,Lil Uzi Vert,XO Tour Llif3
41,"Jay Eskar, Scarlett",Deja Vu
42,JoeVille,Sexy
43,Jack Daily,Pop Style - Jack Daily Remix
44,"Capoxxo, Oaf1, Dreamcache",Perfect
45,27CLUB,Groupie
46,"convolk, halberd, guardin, Jakkyboí, 9tails",whatever it takes
47,Kanye West,Wolves
48,"Pop Smoke, 50 Cent, Roddy Ricch",The Woo (feat. 50 Cent & Roddy Ricch)
49,"Dominic Fike, Kenny Beats",Phone Numbers
50,"Sorry X, 916frosty",Subject to Change
51,The Weeknd,Blinding Lights
52,"SAINt JHN, Imanbek",Roses - Imanbek Remix
53,"Kanye West, Kid Cudi, Raekwon",Gorgeous
54,Travis Scott,wonderful
55,"Juice WRLD, Seezyn",Hide (feat. Seezyn)
56,OMNIPONY,NO KIDDING!
57,"93FEETOFSMOKE, WRCKTNGL",Shepherd of the Fog
58,Kanye West,Black Skinhead
59,Off Cuts,Winds Carry Me Through
60,"Yungcudii, Young $cotty, Suigeneris",Departed
61,King Theta,Critical Mass
62,"familypet, LiL Lotus","so long, goodbye"
63,Lil Uzi Vert,Moon Relate
64,Global Dan,For A Reason
65,"93FEETOFSMOKE, fats'e",stfugafm
66,"Trippie Redd, Lil Uzi Vert",Holy Smokes
67,"Travis Scott, The 1975, Big Sean",Don't Play (feat. The 1975 & Big Sean)
68,Kanye West,Blood On The Leaves
69,Crybaby Cash,Lllen
70,Machine Gun Kelly,why are you here
