Row Number,Artist Names,Track Names
0,"XXXTENTACION, PnB Rock, Trippie Redd",bad vibes forever
1,Crybaby Cash,Lllen
2,"Gupi, Fraxiom, food house",Thos Moser
3,Teddy,Foreign Banz
4,brakence,rosier/punk2
5,Chief Keef,That's It
6,Beach House,Space Song
7,Capstan,Abstracted
8,"Kanye West, Travis Scott",Wash Us In The Blood
9,"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds
10,Fuego,Una Vaina Loca
11,Sevdaliza,Joanna
12,Kanye West,Heartless
13,"Eminem, Nate Dogg",'Till I Collapse
14,"NAV, Travis Scott",Champion (feat. Travis Scott)
15,"Flywlkr, Moose",Sippin' fiji (feat. Moose)
16,93FEETOFSMOKE,LIE SELLER
17,BIGBABYGUCCI,Weird
18,Sevdaliza,Comet
19,Daddex,Love Scars
20,"93FEETOFSMOKE, WRCKTNGL",bite the curb and sleep well (prod. 93FEETOFSMOKE)
21,The Weeknd,Snowchild
22,Eminem,Beautiful
23,Bon Iver,iMi
24,Aries,RACECAR
25,Off Cuts,Winds Carry Me Through
26,iann dior,emotions
27,convolk,tie me to the train tracks
28,"SAINt JHN, J Balvin, Imanbek",Roses - Imanbek Remix [Latino Gang]
29,"Drake, WizKid, Kyla",One Dance
30,iivrson,Money Callin
31,Kanye West,FML
32,Young M.A,Numb
33,diveliner,Gaslight!
34,convolk,get lost
35,"Capoxxo, Oaf1, Dreamcache",Perfect
36,"Machine Gun Kelly, Travis Barker",Misery Business
37,JoeVille,Sexy
38,Namasenda,Wanted
39,"vowl., PhiloSofie",need you
40,The Weeknd,Repeat After Me (Interlude)
41,"T-Pain, Mike Jones",I'm N Luv (Wit a Stripper) (feat. Mike Jones)
42,"Mothica, CMTEN",VICES - Cmten Remix
43,"SAINt JHN, Lil Baby",Trap (feat. Lil Baby)
44,"Don Toliver, Kaash Paige, Travis Scott",Euphoria (feat. Travis Scott & Kaash Paige)
45,93FEETOFSMOKE,fruit2 / fleas
46,King Theta,Getting Over It
47,"Belly, The Weeknd",What You Want
48,KYLE,Bouncin
49,"Tyla Yaweh, Gunna, Wiz Khalifa",All the Smoke (feat. Gunna & Wiz Khalifa)
50,Kanye West,Wolves
51,Kanye West,Black Skinhead
52,King Theta,"Bridge, Pt. 2"
53,"T-Pain, Yung Joc",Buy U a Drank (Shawty Snappin') (feat. Yung Joc)
54,"88GLAM, NAV",Bali
55,Jakkyboí,Why U Gotta Mean So Much?
56,guardin,i think you're really cool
57,KYLE,What It Is
58,"Prettyboi Floydd, Bobby Raps",2 Damaged
59,Juice WRLD,Lucid Dreams
60,"Syn Cole, kirstin",Got the Feeling
61,The Weeknd,Faith
62,Future,March Madness
63,fats'e,room to breathe
64,Drake,Marvins Room
65,Kanye West,Hurricane
66,The Weeknd,Alone Again
67,"PARTYNEXTDOOR, Drake",LOYAL (feat. Drake)
68,convolk,dying young
69,Juice WRLD,Black & White
70,Drainpuppet,My Chakras Are Fast and Hype
71,Bladee,Be Nice 2 Me
72,Oklou,Entertnmnt
73,93FEETOFSMOKE,Lie & Say I Love Her
74,"Jay Eskar, Scarlett",Deja Vu
75,"Playboi Carti, Future",Teen X (feat. Future)
76,The Weeknd,Too Late
77,Lil Uzi Vert,That Way
78,"Juice WRLD, Lil Uzi Vert",Wasted (feat. Lil Uzi Vert)
79,anders,Bad Guy
80,guardin,in my sleep
81,93FEETOFSMOKE,HOW DO U LUV ME U DONT LUV URSELF
82,"Dominic Fike, Kenny Beats",Phone Numbers
83,"Supachefm, jay vee, Jakkyboí","Fine Wine, Long Life"
84,guardin,Doormat
85,RONI,Wasted / Only You
86,"Tory Lanez, Rich The Kid, Lil Wayne",TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix
87,27CLUB,SOBER
88,Kevin Kazi,Christian Dior
89,Daniel Caesar,Who Hurt You?
90,SAINt JHN,I Can Fvcking Tell
91,Machine Gun Kelly,drunk face
92,93FEETOFSMOKE,cut the feedback!
93,Travis Scott,wonderful
94,Drake,Trust Issues
95,"Zaini, vict molina, Keagan",Joke
96,Paris Shadows,OUTSIDE
97,brakence,fuckboy
98,Petit Biscuit,Memories
99,SAINt JHN,Roses
100,underscores,pay attention!
101,Pop Smoke,Something Special
102,"Machine Gun Kelly, Halsey",forget me too (feat. Halsey)
103,"StaySolidRocky, Lil Uzi Vert",Party Girl (Remix)
104,Surf Curse,Disco
105,guardin,Inside
106,KYLE,Ups & Downs
107,juno,obsessed
108,Marco Luka,do me wrong
109,JELEEL!,Hasta la Vida!
110,POORSTACY,I Want Smoke
111,Jutes,Sideshow
112,Justin Rarri,NEVADA
113,"100 gecs, Laura Les, Dylan Brady",ringtone
114,Drake,Passionfruit
115,BLESSED,Memoirs of the Melancholy
116,"100 gecs, Laura Les, Dylan Brady",money machine
117,Nameless,Asu No Yozora Shoukaihan
118,Lil Tecca,Did It Again
119,Kanye West,Waves
120,"Dj Yo!, CKay, AX'EL",Love Nwantiti - Remix
121,"Roderick Porter, Jay Portal",Unconditional
122,Lil Uzi Vert,Prices
123,Global Dan,For A Reason
124,"WizKid, Burna Boy",Ginger (feat. Burna Boy)
125,Drex Carter,Monday Mourning
126,"Travis Scott, Quavo",Oh My Dis Side (feat. Quavo)
127,Sevdaliza,Wallflower
128,benny mayne,THE WORST
129,Lil Uzi Vert,Myron
130,Lil Uzi Vert,Venetia
131,"Travis Scott, The Weeknd",Pray 4 Love (feat. The Weeknd)
132,Drake,Jungle
133,Lil Uzi Vert,P2
134,King Theta,Shadow
135,"KREAM, Maia Wright",Decisions (feat. Maia Wright)
136,Bon Iver,"Hey, Ma"
137,"Travis Scott, Swae Lee, Chief Keef",Nightcrawler (feat. Swae Lee & Chief Keef)
138,"Young Thug, Travis Scott",pick up the phone
139,"sober rob, Trevor Daniel",Gone
140,Pop Smoke,Flexin'
141,Juice WRLD,Make Believe
142,Oshi,silly boy
143,"Tyla Yaweh, SAINt JHN, Post Malone",Tommy Lee (feat. SAINt JHN & Post Malone) - Remix
144,"Kanye West, Kid Cudi, Raekwon",Gorgeous
145,"Treyarch Sound, Brian Tuey, James McCawley, Kevin Sherwood",115
146,"Playboi Carti, Lil Uzi Vert",Shoota (feat. Lil Uzi Vert)
147,Evilmane,Alone
148,"Tyla Yaweh, Post Malone",Tommy Lee (feat. Post Malone)
149,Three Days Grace,I Hate Everything About You
150,"Silent Boy, Sace",On My Mind
151,cxltgod,FTC
152,HEX,Inferno
153,Drippin So Pretty,Green Dot
154,Speng Squire,Vent
155,Lance Free,Clementine
156,"Wifisfuneral, Coi Leray",Lost in Time (feat. Coi Leray)
157,A Boogie Wit da Hoodie,Me and My Guitar
