Row Number,Artist Names,Track Names
0,Leo IV,high maintenance
1,Yungcudii,Think Too Much
2,"JERHELL, JADY",Vulnerable
3,HEX,Inferno
4,"Yungcudii, Young $cotty, Suigeneris",Departed
5,SAINt JHN,Who Do You Blame
6,SAINt JHN,5 Thousand Singles
7,SAINt JHN,I Can Fvcking Tell
8,"SAINt JHN, A Boogie Wit da Hoodie",Monica Lewinsky (feat. A Boogie wit da Hoodie)
9,"SAINt JHN, Imanbek",Roses - Imanbek Remix
10,93FEETOFSMOKE,LIE SELLER
11,Arizona Zervas,ROXANNE
12,27CLUB,BURIED
13,27CLUB,Groupie
14,27CLUB,SOBER
15,Juice WRLD,Lucid Dreams
16,convolk,all black fit
17,The Weeknd,Heartless
18,The Weeknd,Blinding Lights
19,93FEETOFSMOKE,HOW DO U LUV ME U DONT LUV URSELF
20,"93FEETOFSMOKE, Tothegood",I'd do anything to keep you here (RIP RILEY I LOVE YOU)
21,"93FEETOFSMOKE, WRCKTNGL",Shepherd of the Fog
22,"93FEETOFSMOKE, Ghostrage","oh hey, miss ur face"
23,93FEETOFSMOKE,PPL THT I LUV THE MOST
24,"Drake, Future",Plastic Bag
25,Drake,5 Am in Toronto
26,"Drake, Future",Diamonds Dancing
27,"Ty Dolla $ign, Joe Moses",Wavy (feat. Joe Moses)
28,Drake,Jungle
29,93FEETOFSMOKE,mean a damn thing
30,"fats'e, shinigami, 93FEETOFSMOKE",old me
31,"93FEETOFSMOKE, shinigami",it never rains anymore
32,93FEETOFSMOKE,sick of myself
33,93FEETOFSMOKE,fruit
34,"Global Dan, Global AzN",Poison
35,guardin,in my sleep
36,Travis Scott,HIGHEST IN THE ROOM
37,"Jaden, SYRE",Again
38,Hamilton,Fell Into a Nightmare
39,Trevor Daniel,Never
40,Lxst,Exhausted
41,93FEETOFSMOKE,this is do or die just like everything else
42,93FEETOFSMOKE,Lie & Say I Love Her
43,guardin,Doormat
44,POORSTACY,I Want Smoke
45,POORSTACY,hollow
46,POORSTACY,make up
47,"Tm88, Lil Uzi Vert",Slayerr
48,Maggie Lindemann,Would I
49,"Maggie Lindemann, Travis Barker",Friends Go (feat. Travis Barker)
50,"Jorja Smith, Burna Boy",Be Honest (feat. Burna Boy)
51,Lil Tecca,Did It Again
52,Lil Uzi Vert,XO Tour Llif3
53,gianni & kyle,do u even miss me at all?
54,convolk,dying young
55,convolk,get lost
56,Travis Scott,guidance
57,PnB Rock,My Ex
58,Lil Uzi Vert,Money Longer
59,guardin,i think you're really cool
60,guardin,Inside
61,Global Dan,For A Reason
62,iann dior,emotions
63,convolk,lonewolf
64,convolk,i fucked up
65,"Ski Mask The Slump God, Juice WRLD",Nuketown (feat. Juice WRLD)
66,"convolk, halberd, guardin, Jakkyboí, 9tails",whatever it takes
67,Aries,RACECAR
68,Aries,CAROUSEL
69,convolk,black heart
70,"nothing,nowhere.",hammer
71,convolk,tie me to the train tracks
72,"familypet, LiL Lotus","so long, goodbye"
73,27CLUB,ANXIOUS
74,93FEETOFSMOKE,cut the feedback!
75,"93FEETOFSMOKE, fats'e",stfugafm
76,Mild Orange,Stranger
77,Mild Orange,Some Feeling
