Row Number,Artist Names,Track Names
0,"fats'e, jay vee",best of me
1,"Lil Wayne, Lil Uzi Vert",Multiple Flows (with Lil Uzi Vert)
2,Childish Gambino,32.22
3,"Travis Scott, The 1975, Big Sean",Don't Play (feat. The 1975 & Big Sean)
4,Drake,Marvins Room
5,lil aaron,Dark Matter
6,Travis Scott,HIGHEST IN THE ROOM
7,"Young Thug, Young Stoner Life, Gunna, Lil Baby",Chanel (Go Get It) [feat. Gunna & Lil Baby]
8,Travis Scott,A-Team
9,Three Days Grace,I Hate Everything About You
10,six impala,F4R4W4Y199X/74P3 2
11,"Bon Iver, St. Vincent",Rosyln
12,PnB Rock,Need Somebody
13,"100 gecs, Laura Les, Dylan Brady",stupid horse
14,Speng Squire,Vent
15,RoomTone,Theme of One Punch Man (Seigi Shikkou)
16,Capstan,Abstracted
17,Mild Orange,Stranger
18,Global Dan,For A Reason
19,"Oklou, A. G. Cook",fall - A. G. Cook Remix
20,"Global Dan, Global AzN",Poison
21,Tory Lanez,Who Needs Love
22,Capstan,Stars Before The Sun
23,916frosty,waiting
24,Capstan,Wax Poetic
25,"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds
26,convolk,tie me to the train tracks
27,King Theta,Shadow
28,"sober rob, Trevor Daniel",Gone
29,Sevdaliza,Wallflower
30,Kid Cudi,Soundtrack 2 My Life
31,Teddy,Foreign Banz
32,Zac Greer,crazy
33,Arizona Zervas,ROXANNE
34,"nothing,nowhere.",hammer
35,"Flowars, guardin",bloodsucker
36,Bon Iver,"Hey, Ma"
37,Lil Uzi Vert,Money Longer
38,"Drake, Future",Plastic Bag
39,Naïka,Sauce
40,fats'e,blind in the spotlight
41,"Oklou, Casey MQ",Lurk
42,juno,karma
43,"Travis Scott, Lil Uzi Vert, Kanye West",Watch (feat. Lil Uzi Vert & Kanye West)
44,POORSTACY,make up
45,Aries,RACECAR
46,BROHUG,Stockholm
47,"Young Thug, Travis Scott",pick up the phone
48,Prettyboy D-O,Toyin Tomato
49,Verzache,Needs
50,convolk,-_-uncertain-_-
51,Drake,5 Am in Toronto
52,Fuego,Una Vaina Loca
53,"King Theta, Jakkyboí",Without You
54,"Spooky Boi, Effy",Crash
55,"JERHELL, JADY",Vulnerable
56,"21 Savage, Metro Boomin, Drake",Mr. Right Now (feat. Drake)
57,Dear and the Headlights,Sweet Talk
58,Kanye West,Wolves
59,Lil Uzi Vert,XO Tour Llif3
60,Juice WRLD,Robbery
61,"bahama john, Shrimp",Nite Lite
62,"Syn Cole, kirstin",Got the Feeling
63,Drake,Hotline Bling
64,"T-Pain, Mike Jones",I'm N Luv (Wit a Stripper) (feat. Mike Jones)
65,Lil Uzi Vert,Celebration Station
66,Good Kid,Everything Everything
67,"Eminem, Dido",Stan
68,"Choomba, Blush'ko, LP Giobbi",Say It (feat. LP Giobbi & Blush'ko)
69,"Prettyboy D-O, WANI",Mentally
70,Ferdous,Counting Stars
71,Pop Smoke,Flexin'
72,guardin,Solitary
73,Freddie Sunshine,Sun and The Moon
74,"Juice WRLD, Seezyn",Hide (feat. Seezyn)
75,"Ski Mask The Slump God, Juice WRLD",Nuketown (feat. Juice WRLD)
76,Lance Free,Clementine
77,JoeVille,Sexy
78,Kanye West,No Child Left Behind
79,"DJ Yo, CKay, AX'EL",Love Nwantiti - Remix
80,Playboi Carti,@ MEH
81,PnB Rock,My Ex
82,Juice WRLD,Conversations
83,The Weeknd,Blinding Lights
84,MAJ,Blue
85,Travis Scott,wonderful
86,kmoe,gloves
87,Point North,Ghost in My Home
88,SEBii,Butterfly Bankai
89,BLESSED,Memoirs of the Melancholy
90,Aries,CAROUSEL
91,Hamilton,Fell Into a Nightmare
92,Pixies,Where Is My Mind?
93,100 gecs,toothless
94,Drake,Passionfruit
95,King Theta,Critical Mass
96,"lil aaron, Kim Petras, Laura Les",Anymore - Laura Les Remix
97,"93FEETOFSMOKE, Anxiety Attacks!",Bending to Grow
98,KYLE,Ups & Downs
99,The Unlikely Candidates,Follow My Feet
100,King Theta,"Bridge, Pt. 2"
101,"93FEETOFSMOKE, fats'e",stfugafm
102,"Drake, Rihanna",Take Care
103,fats'e,room to breathe
104,Bon Iver,iMi
105,The Weeknd,Until I Bleed Out
106,Lancey Foux,SLOW BURN
107,Dylan Brady,Of Course I Still Love You
108,"Trippie Redd, Lil Uzi Vert",Holy Smokes
109,diveliner,Gaslight!
110,"David Guetta, Brooks, Loote",Better When You're Gone
111,Yung Lean,Pikachu
112,KYLE,What It Is
113,kmoe,Breathe
114,"Travis Scott, Future, 2 Chainz",3500 (feat. Future & 2 Chainz)
115,Lil Uzi Vert,Baby Pluto
116,Lil Uzi Vert,Venetia
117,Sevdaliza,Oh My God
118,Juice WRLD,Fast
119,LIL DUSTY G,Squash
120,"KILLY, Y2K",OH NO
121,"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD)
122,"Sewerperson, JabariOnTheBeat",Rsvp
123,Kanye West,New Slaves
124,"Luude, Colin Hay",Down Under (feat. Colin Hay)
125,93FEETOFSMOKE,~^*+ 100k +*^~
126,convolk,dying young
127,David Wolves,Forget About Me
128,Trevor Daniel,On My Own
129,"Tyla Yaweh, Gunna, Wiz Khalifa",All the Smoke (feat. Gunna & Wiz Khalifa)
130,"100 gecs, Count Baldor, GFOTY",stupid horse (Remix) [feat. GFOTY & Count Baldor]
131,Namasenda,Wanted
132,guardin,i think you're really cool
133,Lil Uzi Vert,That Way
134,"Teqkoi, Snøw",I'm Not Enough and I'm Sorry
135,Sig.Carlito,Mariah <3
136,Aphex Twin,Avril 14th
137,Eminem,Without Me
138,"Drake, Playboi Carti",Pain 1993 (with Playboi Carti)
139,"familypet, LiL Lotus","so long, goodbye"
140,Sevdaliza,Joanna
141,Sam Gellaitry,Assumptions
142,93FEETOFSMOKE,Lie & Say I Love Her
143,Juice WRLD,Righteous
144,"Silent Boy, Sace",On My Mind
145,"Don Toliver, Kaash Paige, Travis Scott",Euphoria (feat. Travis Scott & Kaash Paige)
146,Pop Smoke,Something Special
147,Off Cuts,Winds Carry Me Through
148,Koi,beverly
149,Drippin So Pretty,Green Dot
150,88GLAM,Baby Bro
151,The Weeknd,After Hours
152,JELEEL!,Hasta la Vida!
153,Jutes,Sideshow
154,Yusei,Aesthetic Girl
155,shinigami,blunt smoke in the club
156,"XXXTENTACION, PnB Rock, Trippie Redd",bad vibes forever
157,"Alex Skrindo, Miza",Thinkin'
158,XXXTENTACION,SAD!
159,"Juice WRLD, Lil Uzi Vert",Lucid Dreams (feat. Lil Uzi Vert) - Remix
160,"The Weeknd, The Blaze",After Hours - The Blaze Remix
161,"Eminem, Nate Dogg",'Till I Collapse
162,Juice WRLD,Maze
163,guardin,Inside
164,"NAV, Travis Scott",Champion (feat. Travis Scott)
165,POORSTACY,Hills Have Eyes
166,King Theta,Getting Over It
167,"Suckerpunk, convolk",Without Me
168,"Playboi Carti, Future",Teen X (feat. Future)
169,Polo G,Martin & Gina
170,"The Kid LAROI, Juice WRLD",GO (feat. Juice WRLD)
171,convolk,get lost
172,Lil Uzi Vert,Myron
173,"93FEETOFSMOKE, shinigami, fats'e",never come back
174,N i G H T S,Basic
175,The Weeknd,Too Late
176,i_o,Castles In The Sky
177,Gambi,POPOPOP
178,"SAINt JHN, Imanbek",Roses - Imanbek Remix
179,"Nicky Romero, Deniz Koyu, Walk Off the Earth",Paradise
180,"DJ Khaled, Nas, JAY-Z, James Fauntleroy","SORRY NOT SORRY (feat. Nas, JAY-Z & James Fauntleroy) - Harmonies by The Hive"
181,Yusei,Unrequited Love
182,i9bonsai,funee monkee gif
183,Rezcoast Grizz,Lost You
184,Lil Tecca,Did It Again
185,Pop Smoke,Dior
186,"100 gecs, Laura Les, Dylan Brady",ringtone
187,"Capoxxo, Oaf1, Dreamcache",Perfect
188,"Prettyboi Floydd, Bobby Raps",2 Damaged
189,Prettyboy D-O,Same Energy
190,"Yung Scuff, Jakkyboí",U DO U
191,"lil aaron, Kim Petras",ANYMORE
192,Maggie Lindemann,Would I
193,"SAINt JHN, Lil Baby",Trap (feat. Lil Baby)
194,Sleepa,turquoise blue
195,anders,Bad Guy
196,Machine Gun Kelly,drunk face
197,"Infraction, Aim To Head",Falling
198,"Sevdaliza, Sleepnet",Oh My God (Sleepnet X Sevdaliza Remix)
199,Trevor Daniel,Never
200,"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk)
201,Mild Orange,Some Feeling
202,"Zaini, vict molina, Keagan",Joke
203,Aizayah Hills,Fallout
204,SpaceMan Zack,Drugs in the Rain
205,gianni & kyle,do u even miss me at all?
206,Tony Velour,Do or Die
207,Yung Bans,Partna In Crime (P.I.C.)
208,The Weeknd,Scared To Live
209,benny mayne,THE WORST
210,Realestk,WFM
211,PinkPantheress,Break it off
212,Regina Spektor,Samson
213,93FEETOFSMOKE,cut the feedback!
214,PARTYNEXTDOOR,Not Nice
215,Senses,I Don't Wanna Change
216,"Jay Eskar, Heleen",Just Dance
217,Lil Tecca,NEVER LEFT
218,SyKo,#BrooklynBloodPop!
219,SAINt JHN,I Can Fvcking Tell
220,Yaiko Kaori,Maybe i'm alone
221,"Kanye West, Kid Cudi, Raekwon",Gorgeous
222,"Woesum, Yung Lean",Summer Rain
223,3rem,Tongue Tied
224,Slayyyter,Mine
225,"JACKBOYS, Sheck Wes",GANG GANG
226,brakence,fuckboy
227,All Time Low,"Dear Maria, Count Me In"
228,Prettyboy D-O,Jungle Justice - A COLORS SHOW
229,Maggie Lindemann,Knife Under My Pillow
230,Marco Luka,do me wrong
231,"CKay, Joeboy, Kuami Eugene",love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix]
232,Travis Scott,SKELETONS
233,"Travis Scott, Quavo",Oh My Dis Side (feat. Quavo)
234,Bladee,Be Nice 2 Me
235,Amyl and The Sniffers,GFY
236,"kmoe, Carmen Campbell",Home
237,"DJ Khaled, Drake",POPSTAR (feat. Drake)
238,Machine Gun Kelly,bloody valentine
239,Leo IV,high maintenance
240,Lil Uzi Vert,P2
241,Jungle,Keep Moving
242,Oklou,Entertnmnt
243,"Travis Scott, The Weeknd",Pray 4 Love (feat. The Weeknd)
244,Lil Tracy,Beautiful Nightmare
245,David Wolves,Touring Test
246,Lani Rose,Momma Look
247,The Killers,Mr. Brightside
248,Daniel Caesar,Who Hurt You?
249,Ramzoid,RED BEAMS
250,BIGBABYGUCCI,Blood on the Asphalt
251,"Zelly Ocho, 16yrold",skinnyjeans
252,"the bootleg boy, artemis orion",blue
253,Lil Uzi Vert,Prices
254,100 gecs,sympathy 4 the grinch
255,"Yung Bleu, Drake",You’re Mines Still (feat. Drake)
256,steve breaux,my world
257,"Mustard, Travis Scott, LeMarquis",Whole Lotta Lovin' - LeMarquis Remix
258,Jay Eskar,You & I
259,Bon Iver,Skinny Love
260,The Weeknd,Escape From LA
261,Bobby Raps,Believe the Lie
262,Mac DeMarco,My Kind of Woman
263,Michael Wyckoff,Bone Theme
264,Dylan Brady,I'll Make You Miss Me All The Time
265,Maleek Berry,Been Calling
266,Kevin LaSean,Racks
267,Paper Rival,Foreign Film Collection
268,"93FEETOFSMOKE, Ghostrage","oh hey, miss ur face"
269,Vicetone,Walk Thru Fire
270,"Lil Tecca, Juice WRLD",Ransom (with Juice WRLD) - Remix
271,Kanye West,Waves
272,Surf Curse,Disco
273,Sevdaliza,Habibi
274,"Machine Gun Kelly, Halsey",forget me too (feat. Halsey)
275,Koi,sbs
276,"Tm88, Lil Uzi Vert",Slayerr
277,andy polk,toyota ae86
278,Alice Gas,MEMORIES!!!
279,"vowl., PhiloSofie",need you
280,The Weeknd,Alone Again
281,Travis Scott,Antidote
282,SAINt JHN,Gorgeous
283,SAINt JHN,Who Do You Blame
284,Dro Kenji,Houdini
285,"93FEETOFSMOKE, WRCKTNGL",Shepherd of the Fog
